date,league,season,home,away,fthg,ftag,market,selection,soft_book,soft_source,soft_odds,fair_odds,fair_close,stake,pnl,clv,won
2020-01-10,ligue_2_t2,2019-2020,Niort,Le Havre,0.0,1.0,1X2,draw,b365,,3.5,3.3812220746610575,3.454036959760101,1.0,-1.0,0.013307049338317167,0.0
2020-01-18,ligue_2_t2,2019-2020,Guingamp,Lens,1.0,1.0,1X2,draw,b365,,3.2,3.037416308786757,3.1249504680742053,1.0,2.2,0.0240162308787073,1.0
2020-01-18,league_one_t3,2019-2020,Gillingham,Oxford,1.0,1.0,1X2,draw,b365,,3.5,3.37805937352446,3.353703241071267,1.0,2.5,0.04362245208135995,1.0
2020-01-18,league_one_t3,2019-2020,Lincoln,Blackpool,1.0,0.0,1X2,draw,b365,,3.4,3.238213718350407,3.2005994965461624,1.0,-1.0,0.06230098569627818,0.0
2020-01-25,league_one_t3,2019-2020,Ipswich,Lincoln,1.0,0.0,1X2,draw,b365,,3.6,3.454326536860178,3.4898239627221423,1.0,-1.0,0.03157065756174071,0.0
2020-01-25,league_one_t3,2019-2020,Burton,Accrington,1.0,1.0,1X2,draw,b365,,3.6,3.472448050905488,3.6031174745187933,1.0,2.6,-0.0008652158973000423,1.0
2020-01-31,ligue_2_t2,2019-2020,Troyes,Grenoble,1.0,2.0,1X2,draw,b365,,3.3,3.135289317155263,3.2953936686316565,1.0,-1.0,0.001397809133454997,0.0
2020-02-01,league_one_t3,2019-2020,Bristol Rvs,Coventry,1.0,2.0,1X2,draw,b365,,3.6,3.4574198235205533,3.652428442859108,1.0,-1.0,-0.014354406576153833,0.0
2020-02-01,league_one_t3,2019-2020,Ipswich,Peterboro,1.0,4.0,1X2,draw,b365,,3.75,3.6115985483409196,3.613238766128127,1.0,-1.0,0.03785004056580066,0.0
2020-02-14,bundesliga_2,2019-2020,Heidenheim,Nurnberg,2.0,2.0,1X2,draw,b365,,3.6,3.404197762696747,3.5719275753101836,1.0,2.6,0.007859180819862699,1.0
2020-02-21,bundesliga_2,2019-2020,Osnabruck,Erzgebirge Aue,0.0,0.0,1X2,draw,b365,,3.6,3.457728840466188,3.460961843798348,1.0,2.6,0.04017327045971131,1.0
2020-02-23,bundesliga_2,2019-2020,Sandhausen,Karlsruhe,0.0,2.0,1X2,draw,b365,,3.6,3.378679456806237,3.462078716577386,1.0,-1.0,0.03983770870437153,0.0
2020-06-14,bundesliga_2,2019-2020,Karlsruhe,Stuttgart,2.0,1.0,1X2,draw,b365,,4.2,4.034327160670039,4.022927354108808,1.0,-1.0,0.0440158696155275,0.0
2020-08-22,ligue_2_t2,2020-2021,Auxerre,Sochaux,0.0,2.0,1X2,draw,b365,,3.2,2.9644729801711347,3.063647246591199,1.0,-1.0,0.044506675355824754,0.0
2020-08-29,ligue_2_t2,2020-2021,Sochaux,Troyes,2.0,1.0,1X2,draw,b365,,3.0,2.8877722060027153,2.874870469808369,1.0,-1.0,0.04352527583615684,0.0
2020-09-12,ligue_2_t2,2020-2021,Niort,Nancy,1.0,0.0,1X2,draw,b365,,3.2,3.087381953914861,2.9625410723969607,1.0,-1.0,0.08015380101073633,0.0
2020-09-12,ligue_2_t2,2020-2021,Chambly,Grenoble,1.0,2.0,1X2,draw,b365,,3.1,2.9784436453340706,2.9870186959241165,1.0,-1.0,0.0378241034212643,0.0
2020-09-14,ligue_2_t2,2020-2021,Toulouse,Sochaux,0.0,0.0,1X2,draw,b365,,3.2,3.0247508321635315,3.103184942725163,1.0,2.2,0.031198610157542106,1.0
2020-10-03,ligue_2_t2,2020-2021,Paris FC,Le Havre,3.0,0.0,1X2,draw,b365,,3.0,2.8767258853662496,2.87691154810329,1.0,-1.0,0.042784927460790545,0.0
2020-10-17,ligue_2_t2,2020-2021,Amiens,Grenoble,1.0,0.0,1X2,draw,b365,,3.1,2.9934687443319934,2.9738470141081645,1.0,-1.0,0.04242080554021643,0.0
2020-10-17,ligue_2_t2,2020-2021,Le Havre,Chateauroux,1.0,1.0,1X2,draw,b365,,3.25,3.1171791772271242,3.1947800615667385,1.0,2.25,0.017284425647185575,1.0
2020-10-31,bundesliga_2,2020-2021,Paderborn,Regensburg,3.0,1.0,1X2,draw,b365,,3.6,3.4392403208320235,3.8357907600652097,1.0,-1.0,-0.06147122583433129,0.0
2020-11-28,ligue_2_t2,2020-2021,Grenoble,Paris FC,0.0,0.0,1X2,draw,b365,,3.0,2.871450686084526,3.0811472493964494,1.0,2.0,-0.026336699556421705,1.0
2020-12-15,bundesliga_2,2020-2021,Hannover,Bochum,2.0,0.0,1X2,draw,b365,,3.5,3.366962451560518,3.5265098781680946,1.0,-1.0,-0.007517312891199279,0.0
2021-01-02,league_one_t3,2020-2021,Bristol Rvs,Blackpool,2.0,1.0,1X2,draw,b365,,3.6,3.439525193017307,3.8146649911368264,1.0,-1.0,-0.05627361554306587,0.0
2021-01-31,bundesliga_2,2020-2021,Sandhausen,Nurnberg,2.0,0.0,1X2,draw,b365,,3.5,3.370323742379464,3.321241198641823,1.0,-1.0,0.05382289049987632,0.0
2021-02-27,ligue_2_t2,2020-2021,Pau FC,Le Havre,2.0,0.0,1X2,draw,b365,,3.0,2.890780155106162,3.1102716012471543,1.0,-1.0,-0.035454010255225876,0.0
2021-04-03,ligue_2_t2,2020-2021,Caen,Pau FC,1.0,1.0,1X2,draw,b365,,3.2,3.07830530437539,3.0606712927442175,1.0,2.2,0.04552227074697068,1.0
2021-04-10,ligue_2_t2,2020-2021,Le Havre,Ajaccio,1.0,1.0,1X2,draw,b365,,3.0,2.8976926103855964,2.9846350112040816,1.0,2.0,0.005148029403340582,1.0
2021-04-24,ligue_2_t2,2020-2021,Rodez,Le Havre,1.0,1.0,1X2,draw,b365,,3.0,2.884224349817903,2.9090704831309164,1.0,2.0,0.031257240894080995,1.0
2021-04-25,bundesliga_1,2020-2021,M'gladbach,Bielefeld,5.0,0.0,1X2,draw,b365,,4.2,4.04661925016707,4.096061605623453,1.0,-1.0,0.025375202910486117,0.0
2021-05-08,ligue_2_t2,2020-2021,Rodez,Nancy,1.0,1.0,1X2,draw,b365,,3.1,2.9908329686635677,3.2590422313143925,1.0,2.1,-0.048800297764245215,1.0
2021-05-23,bundesliga_2,2020-2021,Bochum,Sandhausen,3.0,1.0,1X2,draw,b365,,4.2,3.9618249012650404,4.101987931677203,1.0,-1.0,0.023893797338092604,0.0
2021-07-24,bundesliga_2,2021-2022,Darmstadt,Regensburg,0.0,2.0,1X2,draw,b365,,3.6,3.303923374055772,3.3783521631209243,1.0,-1.0,0.06560826881775328,0.0
2021-07-31,ligue_2_t2,2021-2022,Sochaux,Le Havre,0.0,2.0,1X2,draw,b365,,3.3,3.1674894588902736,3.375874799082575,1.0,-1.0,-0.022475596281945842,0.0
2021-09-24,ligue_2_t2,2021-2022,Dijon,Valenciennes,0.0,1.0,1X2,draw,b365,,4.0,3.854627262823307,3.859470307483441,1.0,-1.0,0.03641165271930569,0.0
2021-10-16,ligue_2_t2,2021-2022,Dijon,Amiens,1.0,0.0,1X2,draw,b365,,3.3,3.1708940768716656,3.3940727882614863,1.0,-1.0,-0.02771678574096592,0.0
2021-10-16,ligue_2_t2,2021-2022,Valenciennes,Dunkerque,1.0,3.0,1X2,draw,b365,,3.3,3.1448246093752315,3.4118726574083746,1.0,-1.0,-0.0327892241715001,0.0
2021-10-23,league_one_t3,2021-2022,Doncaster,Cheltenham,3.0,2.0,1X2,draw,b365,,3.25,3.128228587509595,3.163340157795311,1.0,-1.0,0.027395043808721153,0.0
2021-10-23,ligue_2_t2,2021-2022,Dunkerque,Caen,1.0,1.0,1X2,draw,b365,,3.0,2.8543321281585845,3.1681306139256593,1.0,2.0,-0.05306934416991327,1.0
2021-11-20,ligue_2_t2,2021-2022,Le Havre,Amiens,1.0,1.0,1X2,draw,b365,,3.25,3.1389492523343017,3.1987047194299794,1.0,2.25,0.01603626626066368,1.0
2022-01-17,ligue_2_t2,2021-2022,Paris FC,Le Havre,2.0,2.0,1X2,draw,b365,,3.25,3.0096119260773455,3.0290543365784313,1.0,2.25,0.07294212611291262,1.0
2022-03-05,ligue_2_t2,2021-2022,Dijon,Caen,1.0,0.0,1X2,draw,b365,,3.2,3.084125264927828,3.049810642130747,1.0,-1.0,0.04924546979884736,0.0
2022-03-12,ligue_2_t2,2021-2022,Ajaccio,Bastia,0.0,1.0,1X2,draw,b365,,3.25,3.015585591550264,3.228715704150957,1.0,-1.0,0.006592186429322133,0.0
2022-05-15,bundesliga_2,2021-2022,Werder Bremen,Regensburg,2.0,0.0,1X2,draw,b365,,7.5,7.241039529552776,7.345130902877659,1.0,-1.0,0.021084593204685698,0.0
2022-08-30,ligue_2_t2,2022-2023,Guingamp,Sochaux,1.0,2.0,1X2,draw,b365,,3.2,3.067371349622274,3.058136763925651,1.0,-1.0,0.046388780824910825,0.0
2022-10-08,ligue_2_t2,2022-2023,Amiens,Dijon,2.0,1.0,1X2,draw,b365,,3.5,3.364000105192458,3.237745272779158,1.0,-1.0,0.0809991846565905,0.0
