source,bin,n,hit_rate,ci_low,ci_high,mean_odds,break_even,clears
Pinnacle pre 1X2 home,0.2-0.3,422,0.3127962085308057,0.27041687422810057,0.35855314654957826,3.5548578199052137,0.2967144540858827,False
Pinnacle pre 1X2 home,0.3-0.4,815,0.3754601226993865,0.3428713454731865,0.4092174590037723,2.749889570552147,0.37747204713738347,False
Pinnacle pre 1X2 home,0.4-0.5,905,0.43646408839779005,0.40448767097132554,0.46897762815230626,2.278441988950276,0.4508218262436278,False
Pinnacle pre 1X2 home,0.5-0.6,527,0.5275142314990512,0.4848443764411825,0.569785856004805,1.9329981024667933,0.5289920293744952,False
Pinnacle pre 1X2 home,0.6-0.7,262,0.5992366412213741,0.5388753173730818,0.6567298851234424,1.6368702290076336,0.6225884763770805,False
Pinnacle pre 1X2 home,0.7-0.8,79,0.7215189873417721,0.6141734225170346,0.8083196244545352,1.4974683544303797,0.6756215929731025,False
Pinnacle pre 1X2 home,0.8-0.9,7,1.0,0.6456611570247934,1.0,1.3442857142857143,0.7459519014626659,False
Pinnacle pre 1X2 draw,0.1-0.2,162,0.20987654320987653,0.15425557210629542,0.2789385118871055,4.549567901234568,0.22487340165487885,False
Pinnacle pre 1X2 draw,0.2-0.3,2702,0.26572908956328645,0.24941456687902364,0.28270882127496144,3.601076980014804,0.27969799297722236,False
Pinnacle pre 1X2 draw,0.3-0.4,285,0.24561403508771928,0.1992401760596159,0.29875457261924476,3.358035087719298,0.2986723101804891,False
Pinnacle pre 1X2 away,0.0-0.1,67,0.07462686567164178,0.032295572977927914,0.16309244762013875,7.93223880597015,0.14028513389198485,False
Pinnacle pre 1X2 away,0.1-0.2,498,0.16265060240963855,0.1328409591037415,0.19762506842366956,5.673734939759036,0.19362969989761272,False
Pinnacle pre 1X2 away,0.2-0.3,1012,0.2658102766798419,0.23951501430089023,0.29387680584114767,3.785108695652174,0.27854333948816773,False
Pinnacle pre 1X2 away,0.3-0.4,905,0.3281767955801105,0.2983667877368443,0.3594393690235858,2.9527403314917127,0.3521089791853631,False
Pinnacle pre 1X2 away,0.4-0.5,423,0.4326241134751773,0.38622489619013944,0.4802361047994548,2.3940189125295506,0.43142446898408515,False
Pinnacle pre 1X2 away,0.5-0.6,186,0.553763440860215,0.48195317571615626,0.6233978116332971,2.0599462365591394,0.5091217435142252,False
Pinnacle pre 1X2 away,0.6-0.7,52,0.6153846153846154,0.47959626940741784,0.7352972866511478,1.8173076923076925,0.5643205828503813,False
Pinnacle pre 1X2 away,0.7-0.8,6,0.6666666666666666,0.29998832134152864,0.9032306674407831,1.6050000000000002,0.6324135505245351,False
Pinnacle pre O/U over,0.1-0.2,1,0.0,0.0,0.7934567085261071,2.23,0.4484304932735426,False
Pinnacle pre O/U over,0.2-0.3,31,0.5161290322580645,0.34840118286973176,0.6803001396872117,2.285806451612903,0.44132692167267884,False
Pinnacle pre O/U over,0.3-0.4,317,0.42902208201892744,0.3757075689324316,0.4840363046799677,2.1621451104100946,0.46514824723407644,False
Pinnacle pre O/U over,0.4-0.5,879,0.47554038680318544,0.4427035530132594,0.5085900878844961,2.0279749715585895,0.49555958617498064,False
Pinnacle pre O/U over,0.5-0.6,637,0.5023547880690737,0.463628642508848,0.541052701523749,1.8965934065934067,0.52974125956256,False
Pinnacle pre O/U over,0.6-0.7,164,0.5,0.4243556892194609,0.5756443107805391,1.8304268292682926,0.5491407205234399,False
Pinnacle pre O/U over,0.7-0.8,16,0.625,0.3864064709793481,0.815190174452472,1.764375,0.5697974353593894,False
Pinnacle pre O/U under,0.2-0.3,16,0.375,0.18480982554752806,0.613593529020652,2.138125,0.470967693017139,False
Pinnacle pre O/U under,0.3-0.4,164,0.5,0.4243556892194609,0.5756443107805391,2.0504878048780486,0.4904693654678063,False
Pinnacle pre O/U under,0.4-0.5,637,0.4976452119309262,0.4589472984762509,0.5363713574911518,1.9694976452119313,0.5102019995671659,False
Pinnacle pre O/U under,0.5-0.6,879,0.5244596131968146,0.4914099121155038,0.5572964469867405,1.8431285551763368,0.5449011944620404,False
Pinnacle pre O/U under,0.6-0.7,317,0.5709779179810726,0.5159636953200322,0.6242924310675684,1.7426813880126184,0.5761344105797578,False
Pinnacle pre O/U under,0.7-0.8,31,0.4838709677419355,0.3196998603127883,0.6515988171302683,1.6741935483870964,0.6004303612629548,False
Pinnacle pre O/U under,0.8-0.9,1,1.0,0.20654329147389294,1.0,1.67,0.5988023952095809,False
